n_cases,move_budget,baseline_moved_load,operational_moved_load,baseline_move_share,operational_move_share,baseline_churn,operational_churn,baseline_accuracy,operational_accuracy,realized_gain_pp,baseline_common_value,operational_common_value,predicted_gain_pp,incumbent_correct,baseline_nfr_count,operational_nfr_count,baseline_nfr,operational_nfr,alpha,repetition,batch,release_gain_pp
500,6,6,6,0.012,0.012,35,138,0.538,0.616,7.799999999999995,0.5659627691809047,0.6123941939613824,4.643142478047768,257,4,22,0.01556420233463035,0.08560311284046693,0.2,1,1,8.250000000000002
500,7,7,7,0.014,0.014,54,138,0.56,0.62,5.999999999999995,0.579387647845621,0.6125933975018242,3.3205749656203154,257,6,21,0.023346303501945526,0.08171206225680934,0.30000000000000004,1,1,8.250000000000002
500,8,8,8,0.016,0.016,76,139,0.578,0.62,4.200000000000004,0.5952878830385978,0.6127687297095481,1.748084667095029,257,9,21,0.03501945525291829,0.08171206225680934,0.4,1,1,8.250000000000002
500,9,9,9,0.018,0.018,91,138,0.59,0.62,3.0000000000000027,0.6022479800682607,0.6129439453000392,1.0695965231778404,257,12,21,0.04669260700389105,0.08171206225680934,0.5,1,1,8.250000000000002
500,12,12,12,0.024,0.024,104,139,0.602,0.614,1.200000000000001,0.6069434163265759,0.6134078344883914,0.6464418161815533,257,14,23,0.054474708171206226,0.08949416342412451,0.6000000000000001,1,1,8.250000000000002
500,18,18,18,0.036,0.036,118,137,0.596,0.612,1.6000000000000014,0.6107691160292833,0.6139291002132526,0.31599841839693443,257,20,22,0.07782101167315175,0.08560311284046693,0.7000000000000001,1,1,8.250000000000002
500,18,18,18,0.036,0.036,128,137,0.606,0.612,0.6000000000000005,0.6128222792194865,0.6139291002132526,0.11068209937661333,257,22,22,0.08560311284046693,0.08560311284046693,0.8,1,1,8.250000000000002
500,22,22,22,0.044,0.044,135,140,0.604,0.612,0.8000000000000007,0.6137974417224636,0.6141589930298859,0.03615513074222143,257,23,23,0.08949416342412451,0.08949416342412451,0.9,1,1,8.250000000000002
500,29,29,29,0.058,0.058,146,146,0.616,0.616,0.0,0.6143285868725568,0.6143285868725568,0.0,257,25,25,0.09727626459143969,0.09727626459143969,1.0,1,1,8.250000000000002
500,0,0,0,0.0,0.0,0,137,0.556,0.616,5.999999999999995,0.5320947375109947,0.6059482947652565,7.385355725426179,278,0,35,0.0,0.12589928057553956,0.0,1,2,8.250000000000002
500,8,8,8,0.016,0.016,18,138,0.57,0.62,5.000000000000004,0.5459730678181265,0.6103266932527579,6.435362543463141,278,3,35,0.01079136690647482,0.12589928057553956,0.1,1,2,8.250000000000002
500,20,20,20,0.04,0.04,41,147,0.594,0.628,3.400000000000003,0.5659788974384307,0.6138387453004827,4.7859847862052,278,7,36,0.025179856115107913,0.12949640287769784,0.2,1,2,8.250000000000002
500,18,18,18,0.036,0.036,58,145,0.614,0.63,1.6000000000000014,0.5791381106178487,0.6133945992939495,3.425648867610076,278,8,35,0.02877697841726619,0.12589928057553956,0.30000000000000004,1,2,8.250000000000002
500,23,23,23,0.046,0.046,80,146,0.618,0.634,1.6000000000000014,0.5943663734208169,0.6144877911812799,2.0121417760463056,278,15,34,0.0539568345323741,0.1223021582733813,0.4,1,2,8.250000000000002
500,24,24,24,0.048,0.048,95,147,0.616,0.634,1.8000000000000016,0.6025249244893922,0.6146956237450321,1.217069925563985,278,20,34,0.07194244604316546,0.1223021582733813,0.5,1,2,8.250000000000002
500,32,32,32,0.064,0.064,110,146,0.63,0.626,-0.40000000000000036,0.6093413036568971,0.6161226573118782,0.6781353654981115,278,22,36,0.07913669064748201,0.12949640287769784,0.6000000000000001,1,2,8.250000000000002
500,39,39,39,0.078,0.078,120,148,0.628,0.624,-0.40000000000000036,0.6128786360679389,0.6169410392048589,0.40624031369199676,278,26,36,0.09352517985611511,0.12949640287769784,0.7000000000000001,1,2,8.250000000000002
500,44,44,44,0.088,0.088,133,149,0.626,0.628,0.20000000000000018,0.6160779970762692,0.6172701878258288,0.1192190749559563,278,30,35,0.1079136690647482,0.12589928057553956,0.8,1,2,8.250000000000002
500,50,50,50,0.1,0.1,142,150,0.63,0.622,-0.8000000000000007,0.6170055265864262,0.6174843488924124,0.04788223059862817,278,32,36,0.11510791366906475,0.12949640287769784,0.9,1,2,8.250000000000002
500,54,54,54,0.108,0.108,152,152,0.626,0.626,0.0,0.6175467527385388,0.6175467527385388,0.0,278,36,36,0.12949640287769784,0.12949640287769784,1.0,1,2,8.250000000000002
500,0,0,0,0.0,0.0,0,144,0.526,0.606,7.9999999999999964,0.5248966880174357,0.5944652864242121,6.956859840677643,263,0,36,0.0,0.13688212927756654,0.0,1,3,8.250000000000002
500,2,2,2,0.004,0.004,15,145,0.548,0.606,5.799999999999994,0.5412444517578875,0.5955392178486912,5.429476609080375,263,1,36,0.0038022813688212928,0.13688212927756654,0.1,1,3,8.250000000000002
500,5,5,5,0.01,0.01,37,144,0.566,0.606,4.0000000000000036,0.554578667459461,0.5966864030698837,4.210773561042269,263,6,35,0.022813688212927757,0.13307984790874525,0.2,1,3,8.250000000000002
500,4,4,4,0.008,0.008,51,144,0.568,0.606,3.8000000000000034,0.5638666740543737,0.5963722424941511,3.2505568439777366,263,11,35,0.04182509505703422,0.13307984790874525,0.30000000000000004,1,3,8.250000000000002
500,10,10,10,0.02,0.02,71,146,0.58,0.606,2.6000000000000023,0.5780362033103075,0.5978444524066746,1.9808249096367136,263,14,35,0.053231939163498096,0.13307984790874525,0.4,1,3,8.250000000000002
