n_cases,move_budget,baseline_moved_load,operational_moved_load,baseline_move_share,operational_move_share,baseline_churn,operational_churn,baseline_accuracy,operational_accuracy,realized_gain_pp,baseline_common_value,operational_common_value,predicted_gain_pp,incumbent_correct,baseline_nfr_count,operational_nfr_count,baseline_nfr,operational_nfr,baseline_true_value,operational_true_value,conditional_gain_pp,score_error_penalty_pp,robust_lower_bound_pp,alpha,scenario,repetition,batch,release_gain_pp
300,15,15,15,0.05,0.05,28,89,0.57,0.5866666666666667,1.6666666666666718,0.576738357383609,0.6150387667100549,3.830040932644585,157,4,19,0.025477707006369428,0.12101910828025478,0.570037014932327,0.6079551443025493,3.791812937022232,4.797502727111454,-0.9674617944668693,0.25,well_estimated,1,1,9.800000000000008
300,12,12,12,0.04,0.04,50,89,0.5833333333333334,0.5866666666666667,0.33333333333332993,0.5984426321312468,0.6145996619670022,1.6157029835755399,157,10,19,0.06369426751592357,0.12101910828025478,0.5906153860128968,0.607401155094135,1.6785769081238189,4.89196689800332,-3.27626391442778,0.5,well_estimated,1,1,9.800000000000008
300,15,15,15,0.05,0.05,70,89,0.6066666666666667,0.5866666666666667,-2.0000000000000018,0.6102609386341856,0.6150387667100549,0.47778280758692393,157,12,19,0.07643312101910828,0.12101910828025478,0.6046573350906942,0.6079551443025493,0.3297809211855074,4.96791625239559,-4.4901334448086665,0.75,well_estimated,1,1,9.800000000000008
300,20,20,20,0.06666666666666667,0.06666666666666667,91,91,0.5866666666666667,0.5866666666666667,0.0,0.6153648583147414,0.6153648583147414,0.0,157,20,20,0.12738853503184713,0.12738853503184713,0.6096410584704586,0.6096410584704586,0.0,5.075398515577756,-5.075398515577756,1.0,well_estimated,1,1,9.800000000000008
300,0,0,0,0.0,0.0,0,82,0.5466666666666666,0.5766666666666667,3.0000000000000027,0.5275076101277786,0.5967507741229864,6.92431639952078,164,0,25,0.0,0.1524390243902439,0.5262331202849301,0.5925203775156135,6.6287257230683405,4.805901855533788,2.118414543986992,0.0,well_estimated,1,2,9.800000000000008
300,6,6,6,0.02,0.02,28,85,0.55,0.5833333333333334,3.3333333333333326,0.5573208804624926,0.5980849007649038,4.0764020302411215,164,9,25,0.054878048780487805,0.1524390243902439,0.5542761392965743,0.5940857622791595,3.980962298258528,4.900486055068785,-0.8240840248276635,0.25,well_estimated,1,2,9.800000000000008
300,9,9,9,0.03,0.03,53,87,0.57,0.5866666666666667,1.6666666666666718,0.583732986318055,0.5985524768289122,1.481949051085718,164,15,26,0.09146341463414634,0.15853658536585366,0.5820755027717675,0.5951909705656658,1.3115467793898383,5.06540239239142,-3.5834533413057024,0.5,well_estimated,1,2,9.800000000000008
300,11,11,11,0.03666666666666667,0.03666666666666667,72,87,0.5766666666666667,0.5866666666666667,1.0000000000000009,0.5971992294219703,0.5988473401818546,0.1648110759884247,164,22,26,0.13414634146341464,0.15853658536585366,0.5946926972182536,0.5959771062954258,0.12844090771721994,5.106626721342841,-4.941815645354416,0.75,well_estimated,1,2,9.800000000000008
300,21,21,21,0.07,0.07,89,89,0.5733333333333334,0.5733333333333334,0.0,0.5996192500907082,0.5996192500907082,0.0,164,28,28,0.17073170731707318,0.17073170731707318,0.5974027435356256,0.5974027435356256,0.0,5.140855284530316,-5.140855284530316,1.0,well_estimated,1,2,9.800000000000008
300,0,0,0,0.0,0.0,0,92,0.6,0.6266666666666667,2.6666666666666727,0.5480409876737019,0.6158310212572938,6.779003358359192,180,0,30,0.0,0.16666666666666666,0.5471884199117731,0.612788587475129,6.560016756335585,4.456266641263149,2.322736717096044,0.0,well_estimated,1,3,9.800000000000008
